"","brand","fuel","year","age"
"1","LEXUS","PHEV",2013,1
"2","TOYOTA","PHEV",2013,0
"3","LEXUS","PHEV",2013,5
"4","LEXUS","PHEV",2013,1
"5","LEXUS","PHEV",2013,0
"6","TOYOTA","PHEV",2013,0
"7","GUANGSHENG","BEV",2013,2
"8","LEXUS","PHEV",2013,7
"9","LEXUS","PHEV",2013,1
"10","CITROEN","BEV",2013,11
"11","CHEVROLET","PHEV",2013,1
"12","LEXUS","PHEV",2013,1
"13","TOYOTA","PHEV",2013,1
"14","LEXUS","PHEV",2013,1
"15","TOYOTA","PHEV",2013,3
"16","PORSCHE","PHEV",2013,0
"17","LEXUS","PHEV",2013,1
"18","LEXUS","PHEV",2013,7
"19","TOYOTA","PHEV",2013,15
"20","LEXUS","PHEV",2013,1
"21","LEXUS","PHEV",2013,1
"22","LEXUS","PHEV",2013,4
"23","LEXUS","PHEV",2013,0
"24","LEXUS","PHEV",2013,1
"25","LEXUS","PHEV",2013,1
"26","LEXUS","PHEV",2013,0
"27","LEXUS","PHEV",2013,0
"28","LEXUS","PHEV",2013,0
"29","TOYOTA","PHEV",2013,0
"30","LEXUS","PHEV",2013,0
"31","LEXUS","PHEV",2013,0
"32","CITROEN","BEV",2013,12
"33","TOYOTA","PHEV",2013,6
"34","LEXUS","PHEV",2013,2
"35","TOYOTA","PHEV",2013,0
"36","LEXUS","PHEV",2013,0
"37","LEXUS","PHEV",2013,0
"38","LEXUS","PHEV",2013,0
"39","LEXUS","PHEV",2013,0
"40","LEXUS","PHEV",2013,0
"41","HONDA","PHEV",2013,1
"42","TOYOTA","PHEV",2013,5
"43","TOYOTA","PHEV",2013,6
"44","LEXUS","PHEV",2013,2
"45","CITROEN","BEV",2013,13
"46","CITROEN","BEV",2013,12
"47","HONDA","PHEV",2013,1
"48","ACURA","PHEV",2013,0
"49","LEXUS","PHEV",2013,6
"50","ITALCAR","BEV",2013,4
"51","LEXUS","PHEV",2013,0
"52","LEXUS","PHEV",2013,0
"53","HONDA","PHEV",2013,3
"54","HONDA","PHEV",2013,2
"55","LEXUS","PHEV",2013,0
"56","LEXUS","PHEV",2013,0
"57","LEXUS","PHEV",2013,6
"58","BIO","BEV",2013,2
"59","TOYOTA","PHEV",2013,0
"60","TOYOTA","PHEV",2013,0
"61","TOYOTA","PHEV",2013,0
"62","TOYOTA","PHEV",2013,0
"63","TOYOTA","PHEV",2013,0
"64","TOYOTA","PHEV",2013,0
"65","TOYOTA","PHEV",2013,0
"66","TOYOTA","PHEV",2013,0
"67","TOYOTA","PHEV",2013,0
"68","TOYOTA","PHEV",2013,0
"69","TOYOTA","PHEV",2013,0
"70","PULI","BEV",2013,21
"71","PULI","BEV",2013,21
"72","VOLVO","PHEV",2013,0
"73","TOYOTA","PHEV",2013,0
"74","TOYOTA","PHEV",2013,0
"75","LEXUS","PHEV",2013,0
"76","LEXUS","PHEV",2013,0
"77","BIO","BEV",2013,2
"78","LEXUS","PHEV",2013,0
"79","HONDA","PHEV",2013,5
"80","TOYOTA","PHEV",2013,0
"81","RENAULT","BEV",2013,2
"82","LEXUS","PHEV",2013,0
"83","TOYOTA","PHEV",2013,0
"84","TOYOTA","PHEV",2013,0
"85","TOYOTA","PHEV",2013,0
"86","TOYOTA","PHEV",2013,0
"87","TOYOTA","PHEV",2013,0
"88","TOYOTA","PHEV",2013,0
"89","TOYOTA","PHEV",2013,0
"90","TOYOTA","PHEV",2013,0
"91","TOYOTA","PHEV",2013,0
"92","TOYOTA","PHEV",2013,0
"93","TOYOTA","PHEV",2013,0
"94","TOYOTA","PHEV",2013,0
"95","TOYOTA","PHEV",2013,0
"96","TOYOTA","PHEV",2013,0
"97","TOYOTA","PHEV",2013,0
"98","TOYOTA","PHEV",2013,0
"99","TOYOTA","PHEV",2013,0
"100","TOYOTA","PHEV",2013,0
"101","TOYOTA","PHEV",2013,0
"102","TOYOTA","PHEV",2013,0
"103","LEXUS","PHEV",2013,0
"104","TOYOTA","PHEV",2013,0
"105","TOYOTA","PHEV",2013,0
"106","TOYOTA","PHEV",2013,0
"107","TOYOTA","PHEV",2013,0
"108","TOYOTA","PHEV",2013,0
"109","TOYOTA","PHEV",2013,0
"110","TOYOTA","PHEV",2013,0
"111","TOYOTA","PHEV",2013,0
"112","TOYOTA","PHEV",2013,0
"113","TOYOTA","PHEV",2013,0
"114","TOYOTA","PHEV",2013,0
"115","TOYOTA","PHEV",2013,0
"116","TOYOTA","PHEV",2013,0
"117","TOYOTA","PHEV",2013,0
"118","TOYOTA","PHEV",2013,0
"119","TOYOTA","PHEV",2013,0
